Artist(s),song,text,Length,emotion,Genre,Album,Release Date,Key,Tempo,Loudness (db),Time signature,Explicit,Popularity,Energy,Danceability,Positiveness,Speechiness,Liveness,Acousticness,Instrumentalness,Good for Party,Good for Work/Study,Good for Relaxation/Meditation,Good for Exercise,Good for Running,Good for Yoga/Stretching,Good for Driving,Good for Social Gatherings,Good for Morning Routine,Similar Artist 1,Similar Song 1,Similarity Score 1,Similar Artist 2,Similar Song 2,Similarity Score 2,Similar Artist 3,Similar Song 3,Similarity Score 3
Hal Ketchum,Small Town Saturday Night,"There's an Elvis movie on the marquee sign We've all seen at least three times Everybody's broke, Bobby's got a buck Put a dollar's worth of gas in his pickup truck We're going ninety miles an hour down a deadend road What's the hurry, son... where you gonna go? We're gonna howl at the moon, shoot out the light It's a small town Saturday night It's a small town Saturday night  Lucy's got her lipstick on a little too bright Bobby's gettin' drunk and lookin' for a fight Liquor on his breath and trouble on his mind And Lucy's just a kid, along for the ride Got a six-pack of beer and a bottle of wine Gotta be bad just to have a good time They're gonna howl at the moon, shoot out the light It's a small town Saturday night It's a small town Saturday night  Bobby told Lucy, ""The world ain't round... Drops off sharp at the edge of town Lucy, you know the world must be flat 'Cause when people leave town, they never come back"" They go ninety miles an hour to the city limits sign Put the pedal to the metal 'fore they change their mind They howl at the moon, shoot out the light It's a small town Saturday night They howl at the moon, shoot out the light Yeah, it's a small town Saturday night It's a small town Saturday night It's a small town Saturday night",02:57,sadness,country,Past The Point Of Rescue,29th April 1991,G# Maj,154,-6.61db,4/4,No,59,70,63,93,3,7,22,0,1,0,0,1,0,0,0,0,0,Olly Murs,In Case You Didnt Know,0.9824509559600832,"The Doobie Brothers,James Taylor",Takin' It To The Streets,0.9780489063961862,Paul McCartney,Off The Ground,0.9755938318091274
Harry Belafonte,We Wish You A Merry Christmas,We wish you a merry Christmas    We wish you a merry Christmas    We wish you a merry Christmas    And a happy New Year    Glad tidings we bring    To you and your kin    Glad tidings for Christmas    And a happy New Year        We want some milk and cookies    We want some milk and cookies    We want some milk and cookies    Please bring it right here    Glad tidings we bring    To you and your kin    Glad tidings for Christmas    And a happy New Year        We won't go until we get some    We won't go until we get some    We won't go until we get some    So bring it out here    Glad tidings we bring    To you and your kin    Glad tidings for Christmas    And a happy New Year        We wish you a Merry Christmas    We wish you a Merry Christmas    We wish you a Merry Christmas    And a happy New Year    Glad tidings we bring    To you and your kin    Glad tidings for Christmas    And a happy New Year    ,04:29,joy,"blues,pop,folk",Christmas,24th September 2001,D Maj,93,-12.79db,4/4,No,13,22,27,12,3,11,96,0,0,1,0,0,0,0,0,0,0,Kacey Musgraves,What Are You Doing New Years Eve,0.9962000567750342,Nelly Furtado,Phoenix,0.9959492537899944,Broken Iris,Colorful Mind,0.9951244150574399
Harry Styles,Ever Since New York,"[Verse 1] Tell me something, tell me something You don't know nothing, just pretend you do I need something, tell me something new Choose your words, 'cause there's no antidote For this curse, oh, what's it waiting for? Must this hurt you just before you go?  [Chorus] Oh, tell me something I don't already know Oh, tell me something I don't already know  [Verse 2] Brooklyn saw me, empty at the news There's no water inside this swimming pool Almost over, had enough from you And I've been praying, I never did before Understand I'm talking to the walls I've been praying ever since New York  [Chorus] Oh, tell me something I don't already know Oh, tell me something I don't already know Oh, tell me something I don't already know Oh, tell me something I don't already know [Bridge] Tell me something, tell me something You don't know nothing, just pretend you do Tell me something just before you go  [Chorus] Oh, tell me something I don't already know Oh, tell me something I don't already know Oh, tell me something I don't already know Oh, tell me something I don't already know",04:13,sadness,"funk,soul,rock",Harry Styles,12th May 2017,A# Maj,128,-6.76db,5/4,No,61,54,39,38,3,12,20,0,0,0,0,0,0,0,0,0,0,Cher,Just Like Jesse James,0.9873429662090503,Cher,Lionel Jesse,0.9873429662090503,The Who,Behind Blue Eyes,0.9781321400886478
Haschak Sisters,CREAMPIES YOUR SISTER,"[Intro: Craig Xen] (Flew Flew) Aye if you're looking for your sister boy, got her Like a pistol then I, pew pew, pew pew pew, nigga Bitch I got her, cock my dick back like a pistol then I Pew pew pew, pew pew pew If you're looking for your aye, Xen, aye, say  [Hook: Craig Xen] If you're looking for your sister boy got her Cock my dick back like a pistol then I shot her If you really want that issue boy it's nada Bodies, kids are falling like it's Autumn Bitch I got it, got it, got it Bitch I got it, got it, got it Bitch I got it, got it, got it Say bitch I got it if you really want that powder  [Verse 1: Craig Xen] Heard you say you 'bout it boy, doubt it Red dot get to flashing like my router Bitch you goofy, you a movie, Austin Powers Keep it moving fore' I make that Uzi shower YOU AIN'T 'BOUT THAT SHIT, NIGGA SHUT THE FUCK UP! BACK THE FUCK UP FORE' YOU GET YOUR ASS STUCK! YOU AIN'T 'BOUT THAT SHIT, NIGGA SHUT THE FUCK UP! BACK THE FUCK UP FORE' YOU GET YOUR ASS STUCK! [Hook: Craig Xen] If you're looking for your sister boy got her Cock my dick back like a pistol then I shot her If you really want that issue boy it's nada Bodies, kids are falling like it's Autumn Bitch I got it, got it, got it Bitch I got it, got it, got it Bitch I got it, got it, got it Say bitch I got it if you really want that powder  [Outro: Craig Xen] PEW PEW PEW PEW PEW PEW NIGGA. SHOUTS OUT MY NIGGA SLUMP, SKI MASK MOTHAFUCKA HUMAN CENTIPEDE NIGGA TIGHTEN YOUR MOTHAFUCKIN BITCH UP NIGGA FUCK THAT BITCH IN THE ASS NIGGA",03:00,anger,jazz,Sister Sister,25th June 2020,C min,100,-9.77db,4/4,No,35,57,95,88,13,5,8,0,0,0,0,0,0,0,1,0,0,Maleek Berry,Own It,0.9799448714375103,The Vamps,Hair Too Long,0.973801220050166,Guru,Look To The Sun,0.9731773690413883
Henry Jamison,Gloria,"[Verse 1] Me and my cousin were walking one day By the Dairy Queen drive-thru down by the highway And he found some f‌lowers, a busted bouquet And he put a hydrangea in his hair Some kids at the Dairy Queen were calling him gay And then to my surprise I knew just what to say I said, ""Boys, if you're looking for your worthiness Well it's already there""  [Chorus] Gloria No more nightmares of a lack of love No need to win the race to face your father  [Verse 2] Me and my cousin were at the arcade In a fathom of blood, we were constantly slain And we watched the progress of our three-letter names 'Til we stumbled outside to the night air And there was a man, with a coat and a cane He was mumbling things about the world gone insane He said, ""Boys, if you're looking for your innocence Well it's already there"" [Chorus] Gloria No more nightmares of a lack of love No need to win the race to face your father Gloria No more nightmares of a lack of love No need to win the race to face your father Gloria No more nightmares of a lack of love No need to win the race to face your father Gloria No more nightmares of a lack of love No need to win the race to face your father",02:47,sadness,hip hop,Gloria Duplex,8th February 2019,C# Maj,99,-15.24db,4/4,No,36,20,60,38,3,10,88,0,0,1,0,0,0,0,0,0,0,Tom Rosenthal,Forests,0.9940162241799533,Norah Jones,Wurlitzer Prize (I Don't Want To Get Over You),0.9920282122846035,Matthew And The Atlas,Palace,0.9916770013739513
"HXVRMXN,Shawty Pimp,MC Spade",PhonkyChevySouthernKlvnZuPimpinMuzik,"[Verse 1: Lofty305] Its just them blackland soundscapes Smoking on loud breaks Nigga can't do tryna' get that pound cake Pound a nigga down Talkin' bout my town Cokey Shores Posh Gang Real shit goes down This is where dope boys go start families Smokin' on fire trees with my family That is all i wanna do Let me get up in this Lofty305, yeah I am spittin' that cokey shit Mack shit attack a bitch With my fly flow Lofty305 listenin' to FlyLo And my eyes low Yeah  [Verse 2: Denzel Curry] Devil or Satan I am too hot to handle Yes is that nigga that is wearin' Jesus sandals Get it? I am packin' the genesis Denzel Curry Aquarius Killa Lyricist about to kill it Like go they villain Ecstasy, your bitch is next to me I am ridin' in the jay Oh wait let me go and get the pedals The black mags Ridin' damn slow through motherfuckin' trey deuce Wait, my nigga, I have been havin' juice like Pac Nigga they want to stop Nigga I pop a copper then i leave his body rot In the fuckin' garbage That is hard shit If a nigga ever try me Fuck that he frying Oh wait hold up he is flying [Verse 3: Mr.B The Poshtronaut] Yeah real shit I got them brainfeeder beads And your bitch is such a treat Yeah she skeet skeet On my motherfuckin' D I-C-K Damn mister B going this way Out of the other hand comes that nigga from BK Rick Ross nigga no hold up Miami shores (?) All these bitch niggas talkin' shit Make these niggas straight throw up (?)",03:04,anger,hip hop,DIGITAL HEAVEN,17th February 2023,A min,138,-4.69db,4/4,Yes,38,79,71,23,11,10,1,0,0,0,0,1,0,0,0,0,0,Lunar C,Mug,0.9831410653854024,Kesh Kesh,Vibin,0.9819450940746319,Kodak Black,Twenty 8,0.9785107345992569
IAMX,The Adrenalin Room,"[Verse 1] The virgin anger and the will to power The secret fire of the human form Burning water, vitriol Mercury rising above us all  [Verse 2] The dissolving and binding Wearing the crown in the fold My coarse heart swallows everything up Like a black hole, like a black hole  [Chorus] In the adrenaline room at the back of my head There's a locked up box and people kissing everywhere In the adrenaline room at the back of my head There's a locked up box and people kissing everywhere  [Verse 3] The virgin anger and the will to power The secret fire of the human form [Chorus] In the adrenaline room at the back of my head There's a locked up box and people kissing everywhere In the adrenaline room at the back of my head There's a locked up box and people kissing everywhere",03:02,joy,"synthpop,alternative,electronic",The Unified Field,22nd March 2013,F Maj,75,-10.84db,4/4,No,21,59,50,43,3,32,29,1,0,0,0,0,0,0,0,0,0,CeeLo Green,Old Fashioned,0.9741417083831305,Alejandro Aranda,Cholo Love,0.9728983790953195,Gene Chandler,I Fooled You This Time,0.9676877526368675
Incognito,Got To Know,"(Jean-Paul Maunick)    We've got so little time on our hands to make all the changes    That we're needin'    Can't leave until tomorrow what we need to do today, oh no    We just can't leave it        War is not the answer to the problems that we're facin'    Gotta learn to live together    Prejudice and pride, ignorance for our defence is not the way    If we wanna have a future        Turn back the pages of our history    Learn from our mistakes        Got to know, got to know, got to know    People got to know it    Got to know, got to know, got to know    What we reap is what we sow        The writin's on the wall and it's clear for all to see the danger    Won't you heed it    We can use the power of expression choose our destination    What it is, What it is        Let's send a message loud and clear to the leaders of the world, there's no  excuse    For this abuse    No more wars, no more wars, no more wars, don't want to fight no more    No more, no more, no more        Turn back the pages of our history    Learn from our mistakes        Got to know, got to know, got to know    People got to know it    Got to know, got to know, got to know    What we reap is what we sow        There is no shame and all to gain    Gotta give peace a chance    Woh oh oh, do right    ",04:52,joy,jazz,Life Stranger Than Fiction,1st January 2001,E min,100,-6.17db,4/4,No,4,82,84,86,6,5,1,1,0,0,0,0,0,0,0,0,0,"Mafikizolo,DJ Maphorisa,Wizkid",Around The World,0.990381102615068,"Devo Spice,Bonnie Gordon,Tv's Kyle,Lex The Lexicon Artist,The Great Luke Ski",Lexicon,0.987699399929965,Full Force,The Good the Bad the Thugly,0.9829798167558267
Indiana Bible College,It's All In Him,"Verse 1    The mighty God is Jesus    The Prince of Peace is He    The everlasting Father    And the King eternally    Wonderful in wisdom    By whom all things were made    The fullness of the Godhead    In Jesus is displayed        Chorus    It's all in Him, It's all in Him    The fullness of the Godhead is in Him    It's all in Him, It's all in him    The Mighty God is Jesus    It's all in Him        Verse 2    The Alpha and Omega    The beginning and the end    The Living Word incarnate    And the helpless sinner's friend    Our wisdom and perfection    Our righteousness and pow'r    All we need in Jesus    We find this very hour        Bridge Worship the only saving name    Jesus, Jesus    ",05:36,joy,pop,Persuaded (Live),27th January 2013,G Maj,71,-11.22db,4/4,No,8,32,32,22,3,68,52,0,0,1,1,0,0,0,0,0,0,Rhonda Vincent,When the Grass Grows Over Me,0.9881394008498716,David Allan Coe,Desperados Waiting For A Train,0.9795731931137655,"Steve Green,Gary McSpadden,Bill Gaither,Jon Mohr",No Other Name But Jesus,0.9792968911153956
Insania,To Live Another Day,"Is this what I had in mind, when I tried to see the sign? The best days of my life just when away With tears in my eyes,years are passing by I'm getting older every day  So please help me see, the best things that life can give Cause I wanna be free I wanna live some more, there's so much to explore ""Hey Life!"", please let me feel  Why am I scared to live tomorrow? Why am I scared to leave today? Will the future bring me joy or sorrow? Is there time enough for me to pray, and live another day?  What if life could treat me well and cast away the spell That always has and still is haunting me I have to stand up strong, be brave and carry on Not to lose my pride and dignity  What if i could change my life, add some light into the night Cause I wanna be free I wanna live some more, there's so much to explore ""Hey Life!"", please let me feel Why am I scared to live tomorrow? Why am I scared to leave today? Will the future bring me joy or sorrow? Is there time enough for me to pray, and live another day?  Why am I scared to live tomorrow? Why am I scared to leave today? Will the future bring me joy or sorrow? Is there time enough for me to pray, and live another day?",05:04,fear,hip hop,Agony - Gift Of Life,1st June 2007,B Maj,107,-4.09db,4/4,No,11,92,39,23,5,7,0,0,0,0,0,0,0,0,0,0,0,Junius,The Queens Constellation,0.9837860555748454,VRSTY,NOLA,0.9836716568603879,From Indian Lakes,We Are Invincible,0.9822282346140067
INXS,I'm Only Looking,I hear voices    Inside my head    Can I deceive    Can I believe    My whispering friends    What do I hear    About war and peace    What do I hear    About love and sex    I'm delirious    For an answer    I'm delirious    For an answer    Taking me deeper    And deeper in mind    Taking me deeper    And deeper in mind        Fascination for    Limits of love    Should I aim higher    And higher and higher    Will I break you    Like some possession    To leave my lesson        Taking me deeper    And deeper in mind    Taking me deeper    And deeper in mind    I'm only looking    Taking me deeper    And deeper in mind    ,08:16,anger,"rock,pop,alternative rock",I'm Only Looking,1st December 2023,C# Maj,120,-8.03db,4/4,No,23,80,68,35,6,11,1,7,0,0,0,0,0,0,0,0,0,"Shooter Jennings,Marilyn Manson",Cat People,0.9763083615718171,Insane Clown Posse,If I Was a Serial Killer,0.9744463645074152,Insane Clown Posse,If I Was A Serial Killer,0.973354896315673
iroha(sasaki),Irohasasaki - Meltdown English Translation,"Lights of the town are shining With a chilly pain like ether anesthetic Unable to sleep at 2 A.M Everything has changed and lost control of rule  Oil is already running out in lighter My stomach is nervously burning inside If all the scenes were created by lies I really feel happiness and easiness  In broken dream I wring your neck in my dirty hands Lights are shining and making flow in the afternoon I look at your throat jumping under my closed mind But my eyes are gonna start to cry, shout to pretend  Hey, take me to nuclear reactor I wish to dive into core, wanna fly, fly, fly A ray of blue lights surrounds my body, beautiful  Hey, take me to nuclear reactor If I could dive into core, and then cry, cry, cry All sins I did will be allowed within a miracle I hear the sound somebody runs up upstairs Through the terrace on the other side Cloudy sky is beginning to make a shadow Drop on window glass and room  Twilight is spreading lights over the horizon The sun is setting like a swollen eye, bloody inside Around the world everything I see is dead Slowly and slowly melting down without consciousness  In broken dream I wring your neck in my dirty hands Curtains are dancing with a breeze of cherry spring All the words I said by dry injured, colorless lips Are also melting just like a life of bubbles  Hey, take me to nuclear reactor I wish to dive into core, wanna fly, fly, fly Disabled memories go white, melt and disappear Hey, take me to nuclear reactor If I could dive into core, and then cry, cry, cry Like old days good sleep will bring me dream of tenderness  Second hand of the wall clock And the presenter in a TV show Invisible people laugh over there certainly Voices are saturated, echoes surround in my brain Allegro, agitate Ears are ringing so loudly, don't stop Allegro, agitate Ears are ringing so loudly, don’t stop  In broken dream everyone disappears out of sight At midnight my room changes the size bigger and Silent nightmare comes into my chest suddenly Hardly I breathe, end of the world start in my life  Hey, take me to nuclear reactor If I could dive into core, and then cry, cry, cry My body and mind disappear without a pain of anger Hey, imagine I say good-bye to world There will be new morning, it's surely too much beautiful All the gears of mind are fully meshing together I believe… it's true… my perfect world",05:29,sadness,hip hop,炉心融解,1st August 2024,D Maj,165,-0.17db,4/4,No,53,98,56,38,15,20,3,0,1,0,0,1,1,0,0,0,0,"Mefjus,Camo & Krooked",Watch it Burn,0.9601098998464078,"Mefjus,Camo & Krooked",No Tomorrow,0.9601098998464078,"Mefjus,Camo & Krooked",Cross the Line,0.9596898804587397
IV JAY,With You,"[Intro] Is there something in the water right now 'Cause I'm feeling myself let it out, for you Let's get out of here the party so loud Wanna hear wanna talk about you  [Verse 1] Yeah I wanna know everything Baby, I wanna know your whole life Tell me 'bout your whole family What your momma and daddy are like  [Chorus] I'm too soft and you got hardness I got light and you got darkness Compliment each other so perfect Up and down together it's worth it You got heart and I got drive, yeah We apart, yeah, it ain't right We compliment each other so perfect Do whatever, I'm a stick it out, with you [Verse 2] Traded, both my cars for a 9-11 (Yeah) I used to drive a '97 (skrrt-skrrt) Got flowers from the boy I love We going 80 in a 20, couldn't get to heaven He got a pocket full of 1's but I'm on a 7 But I'm a 10, I'm a get every single blessing Big ups to the guy that didn't break my heart That boy smart and for him, Imma go hard  [Verse 3] Postcards in the send 'cause we all far Long way outta wallet and a fast car This the type of love that my momma warned me about Won't doubt but I know this 'gonna wear my heart out And I, I don't need to get high 'cause I'm flying when I am with you I been feeling like I'm on a starship when I am with you  [Bridge] When I am with you  [Chorus] I'm too soft and you got hardness I got light and you got darkness Compliment each other so perfect Up and down together it's worth it You got heart and I got drive, yeah We apart, yeah, it ain't right We compliment each other so perfect Do whatever, I'm a stick it out, with you",03:43,joy,"pop,rap,hip-hop",With You,15th March 2019,F# min,90,-4.89db,4/4,Yes,13,68,70,49,9,21,9,0,0,0,0,0,0,0,0,0,0,"Abstract,Glenn Travis",In Love,0.9830322757009812,"Joe Moses,Ty Dolla $ign",On My Bumper,0.9785642171864286,"Trey Songz,T.I.",Reason,0.9752582285104168
"Jadakiss,Nas",What If,"[Produced By Chophouze]  [Verse 1: Jadakiss] Yo, take a second What if we could rewind the hood? Better yet, what if the LOX woulda signed with Suge? What if Puffy never signed us? What if Oprah made them comments like Imus? What if you designed this? Thought like I did, said it like this What if Peyton was fightin' dogs instead of Mike Vick? What if Arnold woulda just let Tookie get Life? What if BIG missed the party? What if Pac missed the fight? What if you was caged in? What would you change then? What if there was no Rockefeller law for made men? What if the hate ran through me? And what if Portland woulda drafted Jordan instead of Sam Bowie? What if you really had to be nice to get a deal? What if all of these rappers ice was really real? What if I hit you wit the razor from cheek to chin? What if Mike Jackson never woulda bleached his skin? [Chorus: Jadakiss] What if you never knew things that you needed to know? What if you never been places you needed to go? What if you get there and learn them as you go? What if is the question, can I ask them once more? What if you never knew things that you needed to know? What if you never been places you needed to go? What if you get there and learn them as you go? What if is the question, can I ask them once more?  [Verse 2: Jadakiss] What if the pain went away? What if you changed in a day? What if you could eliminate all the games people played? What if Shyne beat the case? What if Diddy did a dime flat? What if Nelson Mandela could give his time back? What if Malcolm was silent? What if Martin was violent? What if you could really sneak a Uzi on the Island? Yeah, what if I made you kiss the nina? What if a brick was only just a misdemeanor? What if Manhattan was hit by Hurricane Katrina? What if a Black man was the one controllin' FEMA? What if we ain't never let emotions come between us? What if the last time we rode somebody seen us? [Chorus: Jadakiss] What if you never knew things that you needed to know? What if you never been places you needed to go? What if you get there and learn them as you go? What if is the question, can I ask them once more? What if you never knew things that you needed to know? What if you never been places you needed to go? What if you get there and learn them as you go? What if is the question, can I ask them once more?  [Verse 3: Nas] Yo, I flow calm but don't push What if Saddam hung Bush? What if 'One Mic' was called one hook? What if the Bridge never showed me how to hold a weapon? What if I ran up in that sick chick with no protection? What if I never wore an Army jacket? Carhartt to match it, unlaced Timbs The hood on my first album cover under plastic What if I was another corny rapper? What if I went instead of Notorious? Who would tell my story after? What if I love less and lust more? If Obama was on Rushmore Would Ali give Tyson a bust jaw? What if I never glared out that project window? Would never be scared for the life of me and my kinfolk What if that gun pin broke? I would never laid back in the Enzo, all red What if real niggas was all dead? What if Hilary and them was Reptilian? And 2012 was the end of men and all world civilians? [Chorus: Jadakiss] What if you never knew things that you needed to know? What if you never been places you needed to go? What if you get there and learn them as you go? What if is the question, can I ask them once more? What if you never knew things that you needed to know? What if you never been places you needed to go? What if you get there and learn them as you go? What if is the question, can I ask them once more?",03:55,anger,hip hop,The Last Kiss,1st January 2009,E min,166,-1.91db,4/4,Yes,20,95,69,60,30,35,4,0,0,0,0,1,1,0,0,0,0,Madchild,Last Emperor,0.9881056214299778,"Cam'ron,Nicole Wray",Family Ties,0.9852077440869809,"The Diplomats,Hell Rell",This Is What I Do,0.9841089715324451
Jaden,U,"[Intro: Lido & Téo] I was tryin' to love you but we (Falling down, we falling down, we falling down) Said shawty I was fucking tryna love you but we, ohh (Falling down, we falling down, we falling down) I was tryin' to love you but we, hey (Falling down, we falling down, we falling down) I was tryin' to love you but we, falling (Falling down, we falling down, we falling down) I was tryin' to love you but we, ohh (Falling down, we falling down, we falling down) Said shawty I was fucking tryna love you but we, ohh (Falling down, we falling down, we falling down) I was tryin' to love you, falling (Falling down, we falling down, we falling down) Did everything, I did everything (Falling down, we falling down, we falling down)  [Verse 1: Jaden Smith] Heart is broken, heart is broken Gettin' green, gettin' green Man I'm artichokin', man I'm artichokin' I can't breathe, that's the art of chokin' That's the, that's the art of chokin' (woo!) Send a text, I never opened it You thought I read this shit? Well I was jokin' Falling down like I'm in Autumn All you jokers spitting nada, nada, nada Six minutes and I still gotta mind my muh'fuckin' problem Calm down, calm down [Interlude: Jaden Smith] Hm, hm, hm, hm, now we're still here Thank you  [Verse 2: Jaden Smith] Try me, come try me I wish you could see what I see I'm late, you find me so timely I'm lost, baby, come and find me Girl, I'm fallin' to the ground and you'll never get me up I'm just a baby with a stack of needles and a sippy cup And this shit sucks, need some love, my Aphrodite I can touch Elvis Presley's coming out of me, my head has got a rush Didn't pick a fight, the FBI just picked a fight with me Man I cry at night, like every night, just come right here and see Screw your V.I.P, we are like Adam and Eve, we are like Adam and Eve We are like Adam and Eve, oh no, what happened to me? No Jimi Hendrix with the flex On the Ford motor, rollin', gettin' checks At your crib for the chill Who is at the door? Are you finna check, check, check? Man, you better show respect Man, I let her go, we both know I had her Man, I'm madder than a hatter Played my heart and now I'm swagger than Mick Jagger [Chorus: Jaden Smith] Jimi Hendrix with the shits Jimi Hendrix with the shits, I told 'em Jimi Hendrix with the shits Jimi Hendrix with the check, check, check, check Jimi Hendrix with the shits, chaos, chaos Jimi Hendrix with the shits Jimi Hendrix, better check, check, check (you were my love) Jimi Hendrix with the shits (you were mine) Jimi Hendrix with the shits, chaos Jimi Hendrix with the shits Jimi Hendrix, better check, check, check Jimi Hendrix with the shits (you watch me breathe) Jimi Hendrix with the shits Chaos, chaos, chaos, chaos, chaos, chaos, chaos  [Post-Chorus: Jaden Smith] You were my love, you were my love Don't let you in my life Don't be rude to us Sorry don't be rude to us  [Outro: Jaden Smith] You're no good for me girl, you're cruel and infectious You are my wish, this is me with a death wish I'm smart, I should get this but, your eyes, your hips, your lips To me they're so precious, I guard them like treasures I'd run, I'd drive, I'd fly distant measures just to witness your gestures Never forever (still flying), the moments still hold us together Never forever (still flying), the moments still hold us together Never forever (still flying), the moments still hold us together Never forever (still flying), the moments still hold us together (I don't believe, girl, I don't believe) Never forever, the moments still hold us together (That you wanna be, girl, somewhere not with me I don't believe, girl, I don't believe) Never forever, the moments still hold us together (That you wanna be, girl, somewhere not with me I'm crying to sleep, girl, I'm crying to sleep) Never forever, the moments still hold us together (I'll die by the sea, girl, I'll die by the sea) Will you die with me, girl? Will you die with me? The future I see, girl, will you try to see?",02:33,sadness,"rap,hip hop",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),14th December 2018,A# min,130,-3.28db,4/4,No,58,94,58,45,14,20,3,0,1,0,0,1,0,0,0,0,0,"Besomorph,N3WPORT,Lunis,Zombic,Felix Schorn",Runaway,0.9755362602520116,"Besomorph,N3WPORT,Lunis,Zombic,Felix Schorn",Castle,0.9751739280658608,Halestorm,Love Bites So Do I,0.9700886707832809
Jan Martans,You Will Believe,"Come on down to the cartoon side Take a look around There'll be lots to find But mind those inky blotches You never know what watches If you're feeling scared Just to play a tune There's plenty to choose From in the music room One by one the old band pops in Lonely is not an option! And HE... HE will set them free And YOU.... YOU will believe It's time to believe In what you can't see It's time to believe There's a deep dark truth It's time to believe that old Joey Drew a Monster Now it's coming after you It's time to believe In the fallen workshop It's time to believe in the long ago Whether or not you Want to take the stage It's time for you to steal the show It's a surprise what the darkness brings So grab an ax and take a swing You're going to need protection From the artists' misdirection Recorders click and the records pop You can't stop bracing for another drop Nothing about this feels right Stuck spinning in the spotlight And HE... HE will set them free And YOU.... YOU will believe It's time to believe In what you can't see It's time to believe There's a deep dark truth It's time to believe that old Joey Drew a Monster Now it's coming after you It's time to believe In the fallen workshop It's time to believe in the long ago Whether or not you Want to take the stage It's time for you to steal the show And they know you want to live But they just cannot forgive When you walked through those doors Their destiny became yours Bright lights Projector screens Twisted choreography Old posters Smiling faces Say, ""This studio's going places"" Dark Hallways Blackened pools Smudgy frames and Rusty tools Stay alert! You'll find what you're fighting for! It's time to believe In what you can't see It's time to believe There's a deep dark truth It's time to believe that old Joey Drew a Monster Now it's coming after you It's time to believe In the fallen workshop It's time to believe in the long ago Whether or not you Want to take the stage It's time for you to steal the show",01:00,fear,hip hop,Komodo Chaos,19th July 2024,B min,88,-4.07db,4/4,No,32,87,71,39,32,7,0,5,0,0,0,0,0,0,0,0,0,Jan Martans,Alien Freak,0.9999999999999999,Epic Rap Battles of History,Mario Bros. vs Wright Bros.,0.9803675297652795,"Lecrae,N'Dambi",Freedom,0.9601442454942167
"Jeezy,Shawty Redd",Strip Club,"(Chorus) Life is like a strip club When you spendin' all your money then you get love When you run up out of ones then you throw Doug's When you spend up all your money ain't no love, (yeah)  [Verse 1: Young Jeezy] It's 20 for the top, 10 for the bottom Like them girls bottoms, man they wanna see me drop Bitch nigga fuck y'all, I ain't going no where You can take it all off bitch, I ain't gon' stare Looking so good got that ass read up Did what I had, took them stacks and re-up Why these whack hoes prayin' for my down fall? Then wonder why I won't answer their call Broke hoes hate man, broke hoes in it Stay away from fake shit, fake shit ain't in me When Young was in the buildin' can't say it didn't flow Better get there early, might be late for the show Now niggas change cause ain't been through in awhile Like every time I came through and blow a few thou Give you everything I got, yeah I know you love that But when it's all said and done, bitch where the love at? (Chorus) Life is like a strip club When you spendin' all your money then you get love When you run up out of ones then you throw Doug's When you spend up all your money ain't no love, (yeah)  [Verse 2: Young Jeezy]  More money more problems, that a motherfuckin' fact And I can do bad all by my goddamn self When I was alone they was bad for my goddamn health So called homies praying on my down fall Then wonder why I won't answer their call Bitch niggas hate man, broke niggas in it Stay away from fake shit, fake shit ain't in me Shit get deep make a nigga go nuts Swear they wanna see me dead in a brand new tux If my tombstone read ""realist nigga ever done it"" Niggas can't say I ain't keep it 100 Gave niggas jobs, even gave niggas change Niggas ain't gave me a motherfuckin' thing Niggas wanna be me, yeah I know you love that But when it's all said and done, nigga where the love at?  (Chorus) Life is like a strip club When you spendin' all your money then you get love When you run up out of ones then you throw Doug's When you spend up all your money ain't no love, (yeah) [Verse 3: Shawty Redd]  I gotta pocket full of paper Ain't worried bout the haters I'm just blowin' money and I feel good But when the money gone I'm standin all alone Thinkin' why did I have to party so strong Look now I gotta go, I gotta go, I gotta go We gotta go, go",04:10,joy,hip hop,The Last Laugh,29th September 2010,C# min,100,-11.51db,4/4,Yes,9,50,78,90,17,80,6,0,0,0,0,0,0,0,1,0,0,"Luke,Big Pun,Terror Squad",Slippery When Wet,0.9685794665958006,Tech N9ne,Who You Came to See,0.9615039263646503,"Daz Dillinger,Kurupt,Prince Ital Joe",Its Going Down,0.9598199547494344
